id;sensor_name;tip_sensor;description
1;Forward attitude Ridges;XSS Plastic;strategize
2;transmitter Wisconsin Illinois;Soft Designer;Wisconsin Rustic Cotton Mouse
3;Harbors;program CSS;Dynamic
4;engineer Auto Loan Account firewall;Home Loan Account;Oregon Dynamic Rhode Island
5;magenta Buckinghamshire;payment;multi-byte index
6;firewall azure matrix;Distributed deposit;Checking Account Tasty
7;Chair;Mobility Rustic engineer;Configurable
8;Mongolia maroon;Pants navigate cohesive;Associate
9;Gorgeous Metal Bike generate;calculate;Ecuador lavender Auto Loan Account
10;program discrete;JBOD haptic;Awesome
